,title,rate
712,ANNIE／アニー,3.67
713,シェルブールの雨傘,3.86
714,ブレア・ウィッチ,2.4
715,魔法にかけられて,4.13
716,夜叉,3.66
717,この素晴らしい世界に祝福を！紅伝説,4.33
718,ホテル ビーナス,4.16
719,ペット・セメタリー,2.0
720,トータル・リコール,3.68
721,ムカデ人間,2.81
722,ミナミの遊侠伝　なんぼのもんやねん,2.5
723,ライト/オフ,3.36
724,オリエント急行殺人事件,3.41
725,ブロークバック・マウンテン,4.04
726,ラッシュ／プライドと友情,4.06
727,鋼の錬金術師,3.99
728,50回目のファースト・キス,4.17
729,サスペクト・ゼロ,2.79
730,僕だけがいない街,3.14
731,マイル22,3.23
732,ガーンジー島の読書会の秘密,3.84
733,ハミングバード,3.12
734,マーターズ,3.35
735,マネー・ショート　華麗なる大逆転,3.27
736,一粒の麦　荻野吟子の生涯,4.0
737,水曜日のエミリア,3.3
738,蜘蛛の巣を払う女,3.66
739,プロメア,4.05
740,カラフル,4.1
741,ういらぶ。,2.92
742,アフターマス,2.96
743,シンドラーのリスト,4.36
744,ツナグ,3.67
745,ボス・ベイビー,3.58
746,それでも夜は明ける,3.83
747,バンブルビー,4.0
748,コレクター,2.71
749,アメイジング・スパイダーマン2,3.45
750,真田十勇士,3.13
751,闇金ウシジマくん ザ・ファイナル,3.59
752,ゆれる人魚,3.24
753,裏切りのサーカス,3.59
754,ブレイブ ストーリー,3.1
755,フェイス／オフ,4.18
756,バードマン　あるいは（無知がもたらす予期せぬ奇跡）,3.36
757,映画クレヨンしんちゃん　ガチンコ！逆襲のロボとーちゃん,4.41
758,グッドナイト・マミー,2.67
759,ファミリービジネス,3.14
760,ジグソウ：ソウ・レガシー,3.28
761,64-ロクヨン-前編,3.56
762,サウスポー,3.8
763,しゃぼん玉,4.37
764,メランコリア,3.23
765,g＠me．,3.84
766,アメリカン・スナイパー,4.01
767,劇場版『ONE PIECE STAMPEDE』,3.89
768,NANA,2.99
769,海街diary,3.76
770,素晴らしきかな、人生,3.35
771,鍵泥棒のメソッド,4.11
772,殺人者の記憶法,3.69
773,おっぱいバレー,3.73
774,少林少女,1.84
775,陽暉楼,3.87
776,カイジ　人生逆転ゲーム,3.33
777,バトル・ロワイアル,3.45
778,余命90分の男,2.99
779,ラーメン食いてぇ！,3.58
780,ドリームガールズ,3.96
781,硫黄島からの手紙,3.97
782,水曜日のエミリア,3.3
783,ナラタージュ,3.18
784,おっぱいバレー,3.73
785,ムカデ人間2,2.89
786,マーターズ,3.35
787,MW－ムウ－,2.73
788,15時17分、パリ行き,3.46
789,ワイルドライフ,3.51
790,ノック・ノック,2.59
791,ダークシティ,3.52
792,殺人者の記憶法,3.69
793,ANEMONE／交響詩篇エウレカセブン　ハイエボリューション,3.79
794,しんぼる,2.86
795,しんぼる,2.86
796,スカイライン－征服－,2.53
797,釣りバカ日誌9,3.37
798,海街diary,3.76
799,50回目のファースト・キス,4.17
800,ディパーテッド,3.51
801,恋する惑星,3.88
802,踊る大捜査線　THE MOVIE,3.73
803,ポンペイ,3.13
804,NANA,2.99
805,銀魂2　掟は破るためにこそある,2.76
806,ソーシャル・ネットワーク,3.61
807,ALWAYS　三丁目の夕日,4.17
808,13デイズ,3.69
809,キサラギ,4.24
810,バンコック・デンジャラス,2.71
811,フェイス／オフ,4.18
812,サイコ,4.08
813,誰もがそれを知っている,3.5
